,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Lagoa,PT,39.05,-27.9833,59.56,85,7,16.49,clear sky
262,Beloha,MG,-25.1667,45.05,73.96,93,100,12.73,light rain
263,Puerto Carreno,CO,6.189,-67.4859,83.66,54,76,3.65,broken clouds
264,Sabang,ID,5.8933,95.3214,78.69,79,100,7.38,overcast clouds
265,Harper,LR,4.375,-7.7169,78.76,83,100,6.06,overcast clouds
266,Noumea,NC,-22.2763,166.4572,78.78,83,81,15.1,light rain
267,Kawalu,ID,-7.3817,108.2082,79.66,76,100,4.23,overcast clouds
268,Kefamenanu,ID,-9.4467,124.4781,85.6,61,38,5.32,scattered clouds
269,Yichun,CN,47.7,128.9,9.14,77,100,6.89,overcast clouds
270,Berlevag,NO,70.8578,29.0864,19.9,85,60,20.71,broken clouds
271,Naze,JP,28.3667,129.4833,56.32,59,100,4.76,overcast clouds
272,Ilulissat,GL,69.2167,-51.1,-3.55,99,100,8.57,overcast clouds
273,Hamilton,US,39.1834,-84.5333,30.97,85,0,3.44,clear sky
274,Wewak,PG,-3.5534,143.6268,83.43,75,99,7.63,overcast clouds
275,Barrow,US,71.2906,-156.7887,-27.38,68,0,12.66,clear sky
276,La Tuque,CA,47.4334,-72.7824,8.85,78,100,8.05,overcast clouds
277,Arkadak,RU,51.9326,43.4978,24.1,97,100,7.2,overcast clouds
278,Auki,SB,-8.7676,160.7034,84.31,79,100,11.12,moderate rain
279,Itupiranga,BR,-5.1347,-49.3267,72.73,97,100,3.15,heavy intensity rain
280,Pita,GN,10.8333,-12.5833,70.84,22,1,3.69,clear sky
281,Misasi,TZ,-3.0,33.0833,64.2,81,100,3.53,overcast clouds
282,Saint-Louis,SN,16.3333,-15.0,75.4,11,0,9.48,clear sky
283,Brazzaville,CG,-4.2658,15.2832,77.31,94,100,2.3,overcast clouds
284,Kupang,ID,-10.1667,123.5833,85.05,73,36,9.15,scattered clouds
285,Batagay-Alyta,RU,67.8006,130.4114,-20.81,95,100,2.98,overcast clouds
286,Dubai,AE,25.2582,55.3047,67.93,52,40,10.36,scattered clouds
287,Taltal,CL,-25.4,-70.4833,67.33,75,2,4.27,clear sky
288,La Ronge,CA,55.1001,-105.2842,14.25,85,20,5.75,few clouds
289,Airai,TL,-8.9266,125.4092,75.2,61,29,2.35,scattered clouds
290,Inhambane,MZ,-23.865,35.3833,77.65,77,84,14.81,broken clouds
291,Namatanai,PG,-3.6667,152.4333,85.84,67,100,7.11,overcast clouds
292,Hof,DE,50.3167,11.9167,34.75,89,40,12.66,scattered clouds
293,Karmala,IN,18.4167,75.2,71.85,33,91,5.75,overcast clouds
294,Itamaraca,BR,-7.7478,-34.8256,82.45,73,6,7.4,clear sky
295,Coracora,PE,-15.0333,-73.7833,51.08,77,100,2.51,overcast clouds
296,Snezhnogorsk,RU,69.1933,33.2531,1.18,97,35,10.42,scattered clouds
297,Muisne,EC,0.6,-80.0333,75.76,88,66,4.29,light rain
298,Whitehorse,CA,60.7161,-135.0538,32.77,80,75,16.11,broken clouds
299,Cabo San Lucas,MX,22.8909,-109.9124,65.5,68,0,4.21,clear sky
300,Grand Forks,US,47.9417,-97.4337,-7.42,92,73,5.39,broken clouds
301,Kilakarai,IN,9.2333,78.7833,77.77,71,46,11.05,scattered clouds
302,Bubaque,GW,11.2833,-15.8333,76.44,70,6,7.78,clear sky
303,San Policarpo,PH,12.1791,125.5072,80.91,79,52,17.47,broken clouds
304,Grindavik,IS,63.8424,-22.4338,32.47,100,100,48.34,heavy snow
305,Gatton,AU,-27.55,152.2833,83.64,50,51,13.8,broken clouds
306,Tecolutla,MX,20.4833,-97.0167,58.86,82,8,3.76,clear sky
307,Orbetello,IT,42.4408,11.2196,50.79,100,83,10.36,broken clouds
308,San Martin,AR,-33.081,-68.4681,70.34,34,0,6.2,clear sky
309,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,3.44,light rain
310,Qaqortoq,GL,60.7167,-46.0333,10.85,64,100,24.09,overcast clouds
311,Bima,ID,-8.4667,118.7167,87.17,69,39,6.73,scattered clouds
312,Bom Jesus,BR,-9.0744,-44.3586,74.19,81,98,1.32,overcast clouds
313,Port-Cartier,CA,50.0334,-66.8654,3.74,97,100,3.96,light snow
314,Westport,US,41.1415,-73.3579,31.86,76,100,3.0,overcast clouds
315,Kruisfontein,ZA,-34.0033,24.7314,69.69,65,0,4.56,clear sky
316,Ostrovnoy,RU,68.0531,39.5131,11.53,88,16,18.66,few clouds
317,Shelburne,CA,44.0787,-80.2041,27.05,71,100,15.41,overcast clouds
318,Slave Lake,CA,55.2834,-114.769,46.38,39,100,17.27,overcast clouds
319,El Ejido,ES,36.7763,-2.8146,55.09,82,0,1.59,clear sky
320,Esperance,AU,-33.8667,121.9,73.24,53,18,28.1,few clouds
321,Khon Kaen,TH,16.5,102.0833,83.32,48,96,3.11,overcast clouds
322,Inirida,CO,3.8653,-67.9239,75.87,87,90,1.66,overcast clouds
323,Grand Gaube,MU,-20.0064,57.6608,77.4,86,100,3.0,overcast clouds
324,Tessalit,ML,20.1986,1.0114,59.61,16,0,5.95,clear sky
325,Leningradskiy,RU,69.3833,178.4167,-26.57,100,63,2.82,broken clouds
326,Aykhal,RU,66.0,111.5,-14.48,99,99,6.35,overcast clouds
327,Dauphin,CA,51.1494,-100.0502,5.14,78,100,0.0,overcast clouds
328,Ararangua,BR,-28.9347,-49.4858,66.87,85,59,3.22,broken clouds
329,Lekoni,GA,-1.5843,14.2591,75.63,71,75,2.89,broken clouds
330,Montero,BO,-17.3333,-63.25,76.1,79,87,5.17,overcast clouds
331,Dingle,PH,10.9995,122.6711,83.75,63,48,15.41,scattered clouds
332,Lodja,CD,-3.4833,23.4333,70.12,96,100,2.3,overcast clouds
333,Alvorada,BR,-12.48,-49.1247,71.06,91,100,4.05,overcast clouds
334,Summerland,CA,49.5998,-119.6691,37.26,80,75,2.3,broken clouds
335,Honiara,SB,-9.4333,159.95,85.28,74,100,7.43,overcast clouds
336,Tahta,EG,26.7693,31.5021,46.72,58,0,6.87,clear sky
337,Poum,NC,-20.2333,164.0167,81.54,86,100,25.52,overcast clouds
338,Cascais,PT,38.6979,-9.4215,53.06,48,3,5.01,clear sky
339,Kaspiysk,RU,42.8816,47.6392,37.58,80,94,13.0,overcast clouds
340,Khorramshahr,IR,30.4397,48.1664,46.36,66,0,4.61,clear sky
341,Bodden Town,KY,19.2833,-81.25,77.94,79,40,1.99,scattered clouds
342,Yurty,RU,56.0498,97.6348,17.31,86,100,5.93,overcast clouds
343,Sioux Lookout,CA,50.1001,-91.917,-0.02,84,0,2.3,clear sky
344,Kendari,ID,-3.945,122.4989,84.56,73,77,11.16,heavy intensity rain
